Brand Name,Parent Company,Type of Product,Type of Material,Layers,Total Count,City,Provinces,Time of Audit,Specifics of Audit
PUTRI PANDA,PUTRI PANDA,FOOD PACKAGING,PET,SINGLE LAYER,6,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
ABC,SANTOS JAYA ABADI,FOOD PACKAGING,PET,SINGLE LAYER,12,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
KAPAL API,SANTOS JAYA ABADI,FOOD PACKAGING,PET,SINGLE LAYER,3,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
KOPI GOOD DAY,SANTOS JAYA ABADI,FOOD PACKAGING,PET,SINGLE LAYER,3,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
POP MIE,INDOFOOD,FOOD PACKAGING,PS,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
SEDAAP,WINGS,FOOD PACKAGING,PS,SINGLE LAYER,4,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
PIKOPI,SANTOS JAYA ABADI,FOOD PACKAGING,PET,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
ROKOK AROMA,NIAGA NUSA ABADI,SMOKING MATERIAL,OTHERS,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
MARCOPOLO,SUMATRA TOBACCO TRADING COMPANY,SMOKING MATERIAL,OTHERS,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
GUDANG GARAM,GUDANG GARAM TBK.,SMOKING MATERIAL,OTHERS,MULTI LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
DJARUM SUPER,DJARUM,SMOKING MATERIAL,OTHERS,MULTI LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
TOP COFFEE,HARUM,FOOD PACKAGING,PET,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
TAPAL KOEDA,TAPAL KUDA KENCANA,SMOKING MATERIAL,OTHERS,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
MISTER,SIANTAR TOP,FOOD PACKAGING,PET,SINGLE LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
PADIMAS,STANLY TRIJAYA MANDIRI,FOOD PACKAGING,PET,SINGLE LAYER,4,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
AOKA,INDONESIA BAKERY FAMILY,FOOD PACKAGING,PET,SINGLE LAYER,3,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
SARI ROTI,NIPPON INDOSARI CORPINDO,FOOD PACKAGING,PET,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
BALIMAS,UNKNOWN,FOOD PACKAGING,PET,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
SARI WANGI,ANGRI WANGI INDONESIA,FOOD PACKAGING,PET,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
MANIZ,UNKNOWN,FOOD PACKAGING,PET,SINGLE LAYER,3,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
SEDAAP,WINGS,FOOD PACKAGING,PET,SINGLE LAYER,6,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
INDOMIE,INDOFOOD,FOOD PACKAGING,PET,SINGLE LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
MINYAKITA,APICAL GROUP,FOOD PACKAGING,PET,SINGLE LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
PANTENE,COLGATE-PALMOLIVE,PERSONAL CARE,PET,SINGLE LAYER,3,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
HEAD & SHOULDERS,HEAD & SHOULDER,PERSONAL CARE,PET,SINGLE LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
REJOICE,PHRONG INTERTRADE CO LTD,PERSONAL CARE,PET,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
AQUA,DANONE,FOOD PACKAGING,HDPE,MULTI LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
MINYAK GORENG SMART,UNKNOWN,FOOD PACKAGING,PET,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
FRAISWELL,BINA KARYA PRIMA,FOOD PACKAGING,PET,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
TICTIC,SIANTAR TOP,FOOD PACKAGING,PET,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
PEMBALUT CHARM,UNI-CHARM INDONESIA,PERSONAL CARE,PET,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
BABY HAPPY,PROTEX,PERSONAL CARE,PET,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
EKOMIE,WINGS,FOOD PACKAGING,OTHERS,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
NEXTAR,NABATI,FOOD PACKAGING,PET,SINGLE LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
GARUDA,TUDUNG GROUP,FOOD PACKAGING,PET,SINGLE LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
VIT,TIRTA INVESTAMA,FOOD PACKAGING,PET,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
ROMA SARI GANDUM,MAYORA INDAH,FOOD PACKAGING,PET,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
ZINC,PT LION WINGS,PERSONAL CARE,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
GOLIA,PERFETTI VAN MELLE,FOOD PACKAGING,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
KISS,MAYORA INDAH,FOOD PACKAGING,PET,MULTI LAYER,5,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
COFFEE CANDY,SANTOS JAYA ABADI,FOOD PACKAGING,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
RELAXA,AGEL LANGGENG,FOOD PACKAGING,PET,MULTI LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
MINTZ,ORANG TUA,FOOD PACKAGING,PET,MULTI LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
SASA,SASA INTI,FOOD PACKAGING,PET,MULTI LAYER,4,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
MASAKO,AJINOMOTO,FOOD PACKAGING,PET,MULTI LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
YOUKA,UNKNOWN,FOOD PACKAGING,PET,MULTI LAYER,3,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
KLIK,INDOFOOD,FOOD PACKAGING,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
SUPER,GANDHI SPICES PVT. LTD.,HOUSEHOLD PRODUCT,PET,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
ATTACK,KAO CORPORATION CHEMICALS COMPANY,HOUSEHOLD PRODUCT,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
TRESEMME,GODEFROY,PERSONAL CARE,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
SABDO PALON,UNKNOWN,FOOD PACKAGING,PET,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
KANZLER,PT MACROPRIMA PANGANUTAMA,FOOD PACKAGING,PET,MULTI LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
GERY SALUT,GARUDA FOOD,FOOD PACKAGING,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
CUP,UNBRANDED,FOOD PACKAGING,PS,SINGLE LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
DAIA,WINGS,HOUSEHOLD PRODUCT,PET,MULTI LAYER,3,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
EKONOMI,WINGS,HOUSEHOLD PRODUCT,PET,MULTI LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
SO KLIN,WINGS,HOUSEHOLD PRODUCT,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
MAMY POKO,UNICHARM,HOUSEHOLD PRODUCT,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
KOPIKO,MAYORA INDAH,FOOD PACKAGING,PET,MULTI LAYER,3,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
CLEO,TANOBEL FOOD,FOOD PACKAGING,PET,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
SO NICE,SO GOOD,FOOD PACKAGING,PET,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
KOMIX,BINTANG TOEDJOE,FOOD PACKAGING,PET,MULTI LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
TOLAK ANGIN,SIDOMUNCUL,FOOD PACKAGING,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
FRISIAN FLAG,FRIESLANDCAMPINA,FOOD PACKAGING,PET,MULTI LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
MIRANDA,UNBRANDED,PERSONAL CARE,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
ANTANGIN,DELTOMED LABORATORIES,FOOD PACKAGING,PET,MULTI LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
TEH GELAS,ORANG TUA,FOOD PACKAGING,PET,SINGLE LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
LIFEBUOY,UNILEVER,PERSONAL CARE,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
ULTRA MILK,ULTRAJAYA,FOOD PACKAGING,OTHERS,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
DUA PUTRA,UNKNOWN,FOOD PACKAGING,PET,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
NABATI,NABATI GROUP.,FOOD PACKAGING,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
ROMA,MAYORA INDAH,FOOD PACKAGING,PET,MULTI LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
AOKA,INDONESIA BAKERY FAMILY,FOOD PACKAGING,PET,MULTI LAYER,3,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
YAKULT,YAKULT,FOOD PACKAGING,HDPE,SINGLE LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
SIMBA,SIMBA INDOSNACK MAKMUR,FOOD PACKAGING,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
ROLIS,UNKNOWN,FOOD PACKAGING,PET,MULTI LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
INDOFOOD,INDOFOOD,FOOD PACKAGING,PET,MULTI LAYER,4,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
NUVO,WINGS,HOUSEHOLD PRODUCT,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
ROCKET CHICKEN,UNKNOWN,FOOD PACKAGING,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
KACANG CIKUR POGO,UNKNOWN,FOOD PACKAGING,PET,MULTI LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
GERY,GARUDA FOOD,FOOD PACKAGING,PET,MULTI LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
WALLS,UNILEVER,FOOD PACKAGING,PET,MULTI LAYER,5,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
MENTOS,PERFETTI VAN MELLE,FOOD PACKAGING,PET,MULTI LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
BLASTER,ULTRA PRIMA ABADI,FOOD PACKAGING,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
CUCU,INTERNUSA FOOD,FOOD PACKAGING,PET,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
ZINC,PT LION WINGS,PERSONAL CARE,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
POLYGON,UNKNOWN,OTHERS,OTHERS,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
MISTER POTATO,PACIFIC FOOD INDONESIA,FOOD PACKAGING,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
CHOCOLATOS,GARUDA FOOD,FOOD PACKAGING,PET,MULTI LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
MIE KREMEZZ,TIGA PILAR SEJAHTERA,FOOD PACKAGING,PET,MULTI LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
GORIORIO,SIANTAR TOP,FOOD PACKAGING,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
YUPI,YUPINDO,FOOD PACKAGING,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
SPRITE,THE COCA-COLA COMPANY,FOOD PACKAGING,PET,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
XIANG XIANG,UNKNOWN,FOOD PACKAGING,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
BLUE BAND,UNILEVER,FOOD PACKAGING,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
KAIPA,UNKNOWN,FOOD PACKAGING,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
PILUS CAP BAWANG TUNGGAL,UNKNOWN,FOOD PACKAGING,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
CHOKI CHOKI,MAYORA INDAH,FOOD PACKAGING,PET,MULTI LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
VITAMIN C,UNKNOWN,FOOD PACKAGING,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
MADURASA,MADURASA UNGGULAN NUSANTARA,FOOD PACKAGING,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
LE MINERALE,MAYORA INDAH,HOUSEHOLD PRODUCT,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
GUDANG GARAM,GUDANG GARAM TBK.,SMOKING MATERIAL,PET,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
DEKA,UNKNOWN,FOOD PACKAGING,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
TINGTING,GARUDA FOOD,FOOD PACKAGING,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
TERASI UDANG,UNKNOWN,FOOD PACKAGING,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
TESSA,PT GRAHA KERINDO UTAMA,PERSONAL CARE,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
KABITA,UNKNOWN,FOOD PACKAGING,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
SOFFELL,ENESIS GROUP,PERSONAL CARE,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
FINTO,FORISA NUSA PERSADA,FOOD PACKAGING,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
SUKIYAKI,UNKNOWN,FOOD PACKAGING,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
JAGO BAWANG,UNKNOWN,FOOD PACKAGING,PET,MULTI LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
KONIDIN,PT KONIMEX,PERSONAL CARE,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
MODI,RANJANI JAYA LESTARI,FOOD PACKAGING,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
GURIMI,PT ABC PRESIDENT INDONESIA,FOOD PACKAGING,PET,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
UNKNOWN,UNBRANDED,OTHERS,OTHERS,UNSURE,420,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
AOKA,INDONESIA BAKERY FAMILY,FOOD PACKAGING,PS,SINGLE LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
GERY,GARUDA FOOD,FOOD PACKAGING,PS,SINGLE LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
DJARUM COKLAT,DJARUM,SMOKING MATERIAL,OTHERS,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
SEDAAP,WINGS,FOOD PACKAGING,PS,SINGLE LAYER,6,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
KISS,MAYORA INDAH,FOOD PACKAGING,PS,SINGLE LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
MILD,"HM SAMPOERNA, TBK",SMOKING MATERIAL,OTHERS,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
TOP,DELFI LIMITED,FOOD PACKAGING,PS,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
DJARUM SUPER,DJARUM,SMOKING MATERIAL,OTHERS,MULTI LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
MENTOS,PERFETTI VAN MELLE,FOOD PACKAGING,PS,SINGLE LAYER,3,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
GORIORIO,SIANTAR TOP,FOOD PACKAGING,PS,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
KOPIKO,MAYORA INDAH,FOOD PACKAGING,PS,SINGLE LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
INAKO JELLY,PT NIRAMAS UTAMA,FOOD PACKAGING,PS,SINGLE LAYER,10,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
KALPA,MAYORA INDAH,FOOD PACKAGING,PS,SINGLE LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
PIATTOS,UNIVERSAL ROBINA CORPORATION,FOOD PACKAGING,PS,SINGLE LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
CHOCO PIE,LOTTE CONFECTIONARY CO,FOOD PACKAGING,PS,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
KUACI REBO,GUMINDO,FOOD PACKAGING,PS,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
SUPER STAR,MAYORA INDAH,FOOD PACKAGING,PS,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
PADDLE POP,UNILEVER,FOOD PACKAGING,PS,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
COCA COLA,THE COCA-COLA COMPANY,FOOD PACKAGING,PS,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
FRISIAN FLAG,FRIESLANDCAMPINA,FOOD PACKAGING,PS,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
SUPERMI,INDOFOOD,FOOD PACKAGING,PS,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
DELFI CHOCO BALL,DELFI LTD.,FOOD PACKAGING,PS,SINGLE LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
DJARUM 76,DJARUM,SMOKING MATERIAL,OTHERS,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
SUNLIGHT,UNILEVER,HOUSEHOLD PRODUCT,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
COFFE CUP,UNKNOWN,FOOD PACKAGING,PS,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
VIT,TIRTA INVESTAMA,FOOD PACKAGING,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
KOPI GOOD DAY,SANTOS JAYA ABADI,FOOD PACKAGING,PS,SINGLE LAYER,4,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
POL-T,UNKNOWN,FOOD PACKAGING,PS,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
MARSHMALLOW,UNBRANDED,FOOD PACKAGING,PS,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
HOT HOT POP,BRONSON,FOOD PACKAGING,PS,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
EKONOMI,WINGS,HOUSEHOLD PRODUCT,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
PAKU,UNKNOWN,FISHING GEAR,PVC,UNSURE,5,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
NEXTAR,NABATI,FOOD PACKAGING,PS,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
CHOCO CHIPS,SIMBA,FOOD PACKAGING,PS,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
GROW,PT GUDANG BARU BERKAH,SMOKING MATERIAL,OTHERS,MULTI LAYER,4,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
SAMPOERNA,PHILIP MORRIS INTERNATIONAL,SMOKING MATERIAL,OTHERS,MULTI LAYER,3,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
GICO,PERUSAHAAN ROKOK BAHAGIA,SMOKING MATERIAL,OTHERS,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
DILAN,GARUDA FOOD,FOOD PACKAGING,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
MALKIST,PT MAYORA INDAH TBK,FOOD PACKAGING,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
KAPAL API,SANTOS JAYA ABADI,FOOD PACKAGING,PET,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
ROCKET CHICKEN,UNKNOWN,FOOD PACKAGING,PET,MULTI LAYER,3,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
GARAM DAUN,UNKNOWN,FOOD PACKAGING,PET,SINGLE LAYER,3,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
MIE KREMEZZ,TIGA PILAR SEJAHTERA,FOOD PACKAGING,PET,MULTI LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
WALLS,UNILEVER,FOOD PACKAGING,PET,MULTI LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
KOPI ABC,SANTOS JAYA ABADI,FOOD PACKAGING,PET,MULTI LAYER,7,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
LA,BRITISH AMERICAN TOBACCO,SMOKING MATERIAL,OTHERS,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
SO NICE,SO GOOD,PERSONAL CARE,PET,MULTI LAYER,3,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
CHOCOLATOS,GARUDA FOOD,PERSONAL CARE,PET,MULTI LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
GUDANG GARAM,GUDANG GARAM TBK.,SMOKING MATERIAL,OTHERS,MULTI LAYER,4,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
DJI SAM SOE,"HM SAMPOERNA, TBK",SMOKING MATERIAL,OTHERS,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
KIKO,PANDARIA MAKMUR (KIKO FACT),PERSONAL CARE,PET,SINGLE LAYER,3,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
RELAXA,AGEL LANGGENG,PERSONAL CARE,PET,MULTI LAYER,3,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
INDOFOOD,INDOFOOD,PERSONAL CARE,PET,SINGLE LAYER,6,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
ICE CREAM,UNKNOWN,PERSONAL CARE,PET,SINGLE LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
GO POTATO,SIANTAR TOP,PERSONAL CARE,PET,SINGLE LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
ROKOK KRETEK,UNKNOWN,OTHERS,OTHERS,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
MENTOS,PERFETTI VAN MELLE,PERSONAL CARE,PET,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
YUPI,YUPINDO,PERSONAL CARE,PET,SINGLE LAYER,4,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
MY JELLY,WONG COCO,PERSONAL CARE,PET,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
GERY SALUT,GARUDA FOOD,PERSONAL CARE,PET,SINGLE LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
MASAKO,AJINOMOTO,PERSONAL CARE,PET,SINGLE LAYER,3,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
